id,segmentationSetId,wsi,segmentationQuality,{'Promyelocyte'},{'Myelocyte'},{'Monoblast'},{'Lymphocyte'},{'Metamyelocyte'},{'Myeloblast'},{'Erythroblast'},{'Lymphoblast'},{'Granulocyte'},{'Plasma cell'},"{'Promyelocyte', 'Erythroblast'}",{'erythrocyte'},{'Monocyte'},{'Megakaryozyt'}
18685,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18606,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18627,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18615,1,1,{'Mediocre'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18641,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18720,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18613,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18644,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18595,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18708,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18714,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18705,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18605,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18611,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18616,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18657,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18725,1,1,{'Mediocre'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18700,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18654,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18655,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18642,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18629,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18649,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18706,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18609,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18602,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18675,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18601,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
18731,1,1,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15352,1,2,{'Good'},0,1,0,0,0,0,0,0,0,0,0,0,0,0
15378,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15454,1,2,{'Bad'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15409,1,2,{'Good'},0,0,1,0,0,0,0,0,0,0,0,0,0,0
15389,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15439,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15545,1,2,{'Good'},0,0,1,0,0,0,0,0,0,0,0,0,0,0
15475,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15495,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15424,1,2,{'Good'},0,0,0,1,0,0,0,0,0,0,0,0,0,0
15503,1,2,{'Good'},0,0,0,0,1,0,0,0,0,0,0,0,0,0
15437,1,2,{'Good'},0,1,0,0,0,0,0,0,0,0,0,0,0,0
15408,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15498,1,2,{'Good'},0,0,1,0,0,0,0,0,0,0,0,0,0,0
15483,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15455,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15438,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15369,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15414,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15542,1,2,{'Mediocre'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15523,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15525,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15527,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15449,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15453,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15461,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15558,1,2,{'Good'},0,1,0,0,0,0,0,0,0,0,0,0,0,0
15522,1,2,{'Good'},0,1,0,0,0,0,0,0,0,0,0,0,0,0
15419,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15363,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15467,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15519,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15384,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15397,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15415,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15532,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15380,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15448,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15376,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15429,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15410,1,2,{'Good'},0,0,0,0,1,0,0,0,0,0,0,0,0,0
15507,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15559,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15534,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15451,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15458,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15368,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15459,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15360,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15394,1,2,{'Good'},0,0,0,0,0,0,1,0,0,0,0,0,0,0
15413,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15392,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15441,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15485,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15501,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15374,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15516,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15529,1,2,{'Good'},0,0,0,0,1,0,0,0,0,0,0,0,0,0
15364,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15417,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15476,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15450,1,2,{'Good'},0,0,0,0,1,0,0,0,0,0,0,0,0,0
15366,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15468,1,2,{'Good'},0,0,0,0,1,0,0,0,0,0,0,0,0,0
15359,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15550,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15502,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15528,1,2,{'Mediocre'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15549,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15513,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15526,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15355,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15490,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15477,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15512,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15487,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15472,1,2,{'Good'},0,0,0,0,0,0,1,0,0,0,0,0,0,0
15517,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15541,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15433,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15514,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15491,1,2,{'Good'},0,0,0,1,0,0,0,0,0,0,0,0,0,0
15473,1,2,{'Good'},0,0,0,0,1,0,0,0,0,0,0,0,0,0
15379,1,2,{'Good'},0,1,0,0,0,0,0,0,0,0,0,0,0,0
15493,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15367,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15494,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15504,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15402,1,2,{'Bad'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15452,1,2,{'Mediocre'},0,0,0,0,1,0,0,0,0,0,0,0,0,0
15496,1,2,{'Bad'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15492,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15431,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15385,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15456,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15426,1,2,,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15403,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15356,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15388,1,2,{'Good'},0,0,0,0,1,0,0,0,0,0,0,0,0,0
15354,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15399,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15398,1,2,{'Good'},0,1,0,0,0,0,0,0,0,0,0,0,0,0
15411,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15351,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15348,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15362,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15361,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15416,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15425,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15401,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15358,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15353,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15404,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15447,1,2,{'Mediocre'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15489,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15400,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15372,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15382,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15544,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15383,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15547,1,2,{'Mediocre'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15347,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15406,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15405,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15373,1,2,{'Good'},0,1,0,0,0,0,0,0,0,0,0,0,0,0
15435,1,2,{'Good'},0,0,0,0,1,0,0,0,0,0,0,0,0,0
15412,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15497,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15482,1,2,{'Good'},0,1,0,0,0,0,0,0,0,0,0,0,0,0
15524,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15436,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15539,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15423,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15551,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15390,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15381,1,2,{'Mediocre'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15418,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15427,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15443,1,2,{'Good'},0,1,0,0,0,0,0,0,0,0,0,0,0,0
15457,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15432,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15357,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15421,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15442,1,2,{'Good'},0,1,0,0,0,0,0,0,0,0,0,0,0,0
15365,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15350,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15386,1,2,{'Good'},0,1,0,0,0,0,0,0,0,0,0,0,0,0
15511,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15465,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15391,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
15434,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15370,1,2,{'Good'},0,0,0,0,0,1,0,0,0,0,0,0,0,0
15371,1,2,{'Good'},1,0,0,0,0,0,0,0,0,0,0,0,0,0
