id,parent folder,BAS,NGB,EBO,FGC,MON,LYT,NIF,MYB,PMO,ART,HAC,PEB,KSC,OTH,LYI,MMZ,ABE,BLA,PLM,NGS,EOS
BAS_00035,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00305,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00426,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00379,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00127,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00115,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00077,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00397,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00274,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00129,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00057,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00013,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00412,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00061,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00090,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00343,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00415,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00294,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00119,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00076,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00248,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00381,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00099,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00124,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00256,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00399,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00346,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS_00006,BAS/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
